subID,gender,hpc_acq_Sp,dlpfc_acq_Sp,hpc_ext_Sp,dlpfc_ext_Sp,hpc_tes_Sp,dlpfc_tes_Sp,hpc_acq_Up,dlpfc_acq_Up,hpc_ext_Up,dlpfc_ext_Up,hpc_tes_Up,dlpfc_tes_Up
14,female,0.379166666666667,0.425,0.525,0.391666666666667,0.491666666666667,0.5,0.462962962962963,0.555555555555555,0.433333333333333,0.366666666666667,0.766666666666667,0.433333333333333
15,female,0.3375,0.416666666666667,0.333333333333333,0.325,0.391666666666667,0.441666666666667,0.37037037037037,0.462962962962963,0.233333333333333,0.4,0.4,0.4
16,male,0.608333333333333,0.5,0.4,0.425,0.383333333333333,0.441666666666667,0.444444444444444,0.518518518518518,0.366666666666667,0.5,0.2,0.3
17,male,0.391666666666667,0.366666666666667,0.35,0.333333333333333,0.3,0.325,0.407407407407407,0.277777777777778,0.4,0.333333333333333,0.3,0.333333333333333
18,male,0.3625,0.4125,0.425,0.341666666666667,0.3,0.441666666666667,0.37037037037037,0.37037037037037,0.366666666666667,0.466666666666667,0.2,0.233333333333333
19,male,0.341666666666667,0.375,0.433333333333333,0.391666666666667,0.291666666666667,0.3,0.388888888888889,0.333333333333333,0.433333333333333,0.533333333333333,0.466666666666667,0.433333333333333
20,female,0.375,0.4375,0.633333333333333,0.591666666666667,0.566666666666667,0.566666666666667,0.37037037037037,0.5,0.3,0.5,0.233333333333333,0.333333333333333
21,male,0.4625,0.504166666666667,0.666666666666667,0.641666666666667,0.391666666666667,0.441666666666667,0.351851851851852,0.407407407407407,0.3,0.4,0.3,0.333333333333333
22,male,0.341666666666667,0.483333333333333,0.466666666666667,0.475,0.416666666666667,0.25,0.203703703703704,0.444444444444444,0.333333333333333,0.366666666666667,0.4,0.433333333333333
23,male,0.470833333333333,0.379166666666667,0.466666666666667,0.4,0.333333333333333,0.341666666666667,0.5,0.407407407407407,0.433333333333333,0.3,0.5,0.4
24,male,0.329166666666667,0.320833333333333,0.241666666666667,0.316666666666667,0.508333333333333,0.4,0.259259259259259,0.333333333333333,0.2,0.366666666666667,0.4,0.233333333333333
25,female,0.345833333333333,0.408333333333333,0.391666666666667,0.4,0.35,0.35,0.481481481481481,0.388888888888889,0.333333333333333,0.366666666666667,0.266666666666667,0.4
26,male,0.404166666666667,0.358333333333333,0.316666666666667,0.366666666666667,0.516666666666667,0.391666666666667,0.277777777777778,0.296296296296296,0.3,0.366666666666667,0.4,0.4
27,male,0.308333333333333,0.383333333333333,0.441666666666667,0.533333333333333,0.55,0.491666666666667,0.407407407407407,0.277777777777778,0.5,0.5,0.3,0.4
28,female,0.3,0.4375,0.358333333333333,0.391666666666667,0.5,0.35,0.351851851851852,0.388888888888889,0.4,0.3,0.333333333333333,0.233333333333333
29,male,0.491666666666667,0.529166666666667,0.375,0.325,0.5,0.458333333333333,0.425925925925926,0.462962962962963,0.4,0.366666666666667,0.366666666666667,0.433333333333333
30,female,0.354166666666667,0.295833333333333,0.35,0.3,0.525,0.583333333333333,0.407407407407407,0.222222222222222,0.3,0.333333333333333,0.5,0.366666666666667
31,female,0.416666666666667,0.491666666666667,0.35,0.383333333333333,0.391666666666667,0.466666666666667,0.555555555555556,0.37037037037037,0.4,0.5,0.3,0.4
32,female,0.370833333333333,0.35,0.275,0.325,0.5,0.35,0.444444444444444,0.518518518518518,0.366666666666667,0.266666666666667,0.333333333333333,0.366666666666667
33,male,0.554166666666667,0.454166666666667,0.383333333333333,0.358333333333333,0.408333333333333,0.35,0.333333333333333,0.555555555555555,0.533333333333333,0.533333333333333,0.366666666666667,0.366666666666667
34,male,0.341666666666667,0.370833333333333,0.433333333333333,0.533333333333333,0.508333333333333,0.408333333333333,0.314814814814815,0.333333333333333,0.3,0.433333333333333,0.4,0.333333333333333
35,male,0.479166666666667,0.3625,0.433333333333333,0.458333333333333,0.4,0.358333333333333,0.351851851851852,0.277777777777778,0.4,0.366666666666667,0.466666666666667,0.4
36,male,0.354166666666667,0.3875,0.5,0.525,0.425,0.333333333333333,0.333333333333333,0.5,0.433333333333333,0.433333333333333,0.433333333333333,0.533333333333333
37,male,0.408333333333333,0.329166666666667,0.408333333333333,0.325,0.341666666666667,0.383333333333333,0.37037037037037,0.388888888888889,0.6,0.333333333333333,0.433333333333333,0.4
38,male,0.333333333333333,0.408333333333333,0.258333333333333,0.391666666666667,0.391666666666667,0.4,0.314814814814815,0.388888888888889,0.366666666666667,0.366666666666667,0.366666666666667,0.333333333333333
39,female,0.5,0.341666666666667,0.366666666666667,0.541666666666667,0.383333333333333,0.508333333333333,0.240740740740741,0.277777777777778,0.266666666666667,0.333333333333333,0.333333333333333,0.366666666666667
40,male,0.420833333333333,0.429166666666667,0.466666666666667,0.433333333333333,0.375,0.608333333333333,0.333333333333333,0.425925925925926,0.566666666666667,0.3,0.4,0.566666666666667
41,male,0.366666666666667,0.45,0.4,0.383333333333333,0.616666666666667,0.416666666666667,0.388888888888889,0.425925925925926,0.433333333333333,0.4,0.333333333333333,0.5
42,male,0.445833333333333,0.316666666666667,0.383333333333333,0.366666666666667,0.375,0.4,0.444444444444444,0.333333333333333,0.3,0.4,0.433333333333333,0.366666666666667
43,male,0.4125,0.3875,0.441666666666667,0.391666666666667,0.441666666666667,0.516666666666667,0.314814814814815,0.37037037037037,0.233333333333333,0.4,0.433333333333333,0.433333333333333
44,female,0.420833333333333,0.495833333333333,0.408333333333333,0.483333333333333,0.35,0.35,0.388888888888889,0.388888888888889,0.366666666666667,0.5,0.333333333333333,0.4
